test_id,label,mode,flags,auto_score,time_s,route_pts,route_length_m,recognizability_1to10,jaggedness_1to10_low_is_good,symmetry_1to10,closure_1to10,proportions_1to10,notes
v6prox02_opt,v6 Prox 0.2 Opt,optimize,"{""v6_proximity_weight"": 0.2}",63.6,51.9,146,5941,,,,,,
v82_baseline_opt,v8.2 Baseline Optimize,optimize,{},66.0,681.1,139,6159.0,,,,,,
v82_baseline_fit,v8.2 Baseline Fit,fit,{},67.3,140.0,151,6627.0,,,,,,
pen30_opt,Penalty 3.0x Opt,optimize,"{""penalty_factor"": 3.0}",67.3,49.7,134,6214,,,,,,
pen40_opt,Penalty 4.0x Opt,optimize,"{""penalty_factor"": 4.0}",67.3,50.9,134,6214,,,,,,
combo_pen20_sym03,Pen2.0+Sym0.3 Opt,optimize,"{""penalty_factor"": 2.0, ""symmetry_weight"": 0.3}",68.2,52.9,107,4985,,,,,,
spline4_fit,Spline k=4 Fit,fit,"{""spline_k"": 4}",68.3,23.9,168,6984,,,,,,
spline3_fit,Spline k=3 Fit,fit,"{""spline_k"": 3}",68.7,28.2,163,6482,,,,,,
combo_multires_spline3,MultiRes+Spline3 Fit,fit,"{""multi_res"": true, ""spline_k"": 3}",68.7,19.2,163,6482,,,,,,
combo_dyn_spline3,Dynamic+Spline3 Fit,fit,"{""dynamic_densify"": true, ""spline_k"": 3}",69.7,28.5,159,6474,,,,,,
multires_fit,Multi-Res Fit,fit,"{""multi_res"": true}",69.8,15.8,146,5941,,,,,,
multires_opt,Multi-Res Opt,optimize,"{""multi_res"": true}",69.8,33.3,146,5941,,,,,,
close_fit,Force Close Fit,fit,"{""force_close"": true}",69.8,21.5,146,5941,,,,,,
close_opt,Force Close Opt,optimize,"{""force_close"": true}",69.8,50.4,146,5941,,,,,,
pen15_opt,Penalty 1.5x Opt,optimize,"{""penalty_factor"": 1.5}",69.8,52.4,146,5941,,,,,,
pen20_opt,Penalty 2.0x Opt,optimize,"{""penalty_factor"": 2.0}",69.8,49.5,146,5941,,,,,,
pen25_opt,Penalty 2.5x Opt,optimize,"{""penalty_factor"": 2.5}",69.8,49.7,146,5941,,,,,,
dynamic_fit,Dynamic Densify Fit,fit,"{""dynamic_densify"": true}",69.9,32.3,144,5887,,,,,,
dynamic_opt,Dynamic Densify Opt,optimize,"{""dynamic_densify"": true}",69.9,75.2,144,5887,,,,,,
combo_dyn_close,Dynamic+Close Fit,fit,"{""dynamic_densify"": true, ""force_close"": true}",69.9,27.8,144,5887,,,,,,
spline5_fit,Spline k=5 Fit,fit,"{""spline_k"": 5}",79.5,21.5,181,7851,,,,,,
sym02_opt,Symmetry 0.2 Opt,optimize,"{""symmetry_weight"": 0.2}",106.5,51.8,207,8576,,,,,,
sym03_opt,Symmetry 0.3 Opt,optimize,"{""symmetry_weight"": 0.3}",116.8,53.4,207,8576,,,,,,
sym05_opt,Symmetry 0.5 Opt,optimize,"{""symmetry_weight"": 0.5}",121.3,57.3,106,5248,,,,,,
combo_all_fit,All Features Fit,fit,"{""dynamic_densify"": true, ""spline_k"": 3, ""force_close"": true, ""symmetry_weight"": 0.2}",121.9,36.5,159,6474,,,,,,
sym04_opt,Symmetry 0.4 Opt,optimize,"{""symmetry_weight"": 0.4}",127.2,52.1,207,8576,,,,,,
hybrid_fit,Hybrid v6 Fit,fit,"{""hybrid_v6"": true}",143.5,16.4,119,4494,,,,,,
combo_dyn_hybrid_close,Dyn+Hybrid+Close Opt,optimize,"{""dynamic_densify"": true, ""hybrid_v6"": true, ""force_close"": true}",152.3,56.2,102,3876,,,,,,
hybrid_opt,Hybrid v6 Opt,optimize,"{""hybrid_v6"": true}",157.2,44.4,108,4070,,,,,,
combo_hybrid_sym03,Hybrid+Sym0.3 Opt,optimize,"{""hybrid_v6"": true, ""symmetry_weight"": 0.3}",164.2,54.1,156,5852,,,,,,
abstract_fit,Abstract Fit,abstract_fit,{},179.7,94.6,56,2890.0,,,,,,
